1,Al-Fatihah,7
2,Al-Baqarah,286
3,Al-i'Imran,200
4,An-Nisaa,176
5,Al-Maidah,120
6,Al-An'am,165
7,Al-A'raf,206
8,Al-Anfal,75
9,At-Tauba,129
10,Yunus,109
11,Hud,123
12,Yusuf,111
13,Ar-Ra'd,43
14,Ibrahim,52
15,Al-Hijr,99
16,An-Nahl,128
17,Al-Isra,111
18,Al-Kahfi,110
19,Maryam,98
20,Ta-ha,135
21,Al-Anbiyaa,112
22,Al-Hajj,78
23,Al-Muminun,118
24,An-Nur,64
25,Al-Furqan,77
26,Ash-Shu'araa,227
27,An-Naml,93
28,Al-Qashash,88
29,Al-Ankabut,69
30,Ar-Rum,60
31,Luqman,34
32,As-Sajdah,30
33,Al-Ahzab,73
34,Saba,54
35,Faathir,45
36,Ya-Sin,83
37,Ash-Shaffat,182
38,Sad,88
39,Az-Zumar,75
40,Al-Mu'min,85
41,Ha-Mim,54
42,Ash-Shura,53
43,Az-Zukhruf,89
44,Ad-Dukhan,59
45,Al-Jathiya,37
46,Al-Ahqaf,35
47,Muhammad,38
48,Al-Fat-h,29
49,Al-Hujurat,18
50,Qaaf,45
51,Az-Zariyat,60
52,At-Tur,49
53,An-Najm,62
54,Al-Qamar,55
55,Ar-Rahman,78
56,Al-Waaqi'ah,96
57,Al-Hadid,29
58,Al-Mujadila,22
59,Al-Hasyr,24
60,Al-Mumtahana,13
61,As-Shaff,14
62,Al-jumu'ah,11
63,Al-munafik,11
64,At-Tagabun,18
65,At-talaq,12
66,At-Tahrim,12
67,Al-Mulk,30
68,Al-Qalam,52
69,Al-aqqa,52
70,Al-Ma'arij,44
71,Nuh,28
72,Al-Jinn,28
73,Al-Muzzammil,20
74,Al-Muddathth,56
75,Al-Qiyamat,40
76,Ad-Dahr,31
77,Al-Mursalat,50
78,An-Nabaa,40
79,An-Nazi'at,46
80,Abasa,42
81,At-Takwir,29
82,Al-Infitar,19
83,Al-Mutaffife,36
84,Al-Inshiqaq,25
85,Al-Buruj,22
86,At-Tariq,17
87,Al-A'la,19
88,Al-Gashiya,26
89,Al-Fajr,30
90,Al-Balad,20
91,Ash-Shams,15
92,Al-Lail,21
93,Adz-Dhuha,11
94,Al-Syarh,8
95,At-Tin,8
96,Al-Alaq,19
97,Al-Qadr,5
98,Al-Baiyina,8
99,Al-Zalzalah,8
100,Al-Adiyat,11
101,Al-Qari'a,11
102,At-Takathur,8
103,Al-Asr,3
104,Al-Humaza,9
105,Al-Fil,5
106,Quraish,4
107,Al-Ma'un,7
108,Al-Kautsar,3
109,Al-Kaafirun,6
110,An-Nashr,3
111,Al-Lahab,5
112,Al-Ikhlas,4
113,Al-Falaq,5
114,Al-Nas,6
